"GEOID","NAME","median_hh_income","gini","prop_owner_occ","prop_renter_occ","unemploymentrate","singlerate","rent_pct_incomeE","snap_pct","majority_race","xsite","evict_pct","nonwhite_pct","white_pct","black_pct","hisp_pct","asian_pct","other_pct"
75006,"ZCTA5 75006",64462,0.4272,0.506350914962325,0.493649085037675,0.0389330965472491,0.200052854122622,28.9,5.60818083961249,"NO MAJORITY","DALLAS",0.0187527256868731,66.0179698694861,33.9820301305139,8.70802834901824,48.2359319933388,7.46485418845126,1.60915533867782
75019,"ZCTA5 75019",118740,0.42,0.690784603997039,0.309215396002961,0.0222779399071067,0.118810068649886,25.8,2.06637058968665,"WHITE","DALLAS",0.00817873528825055,45.4556052975191,54.5443947024809,4.56071628427532,13.1015668718523,24.6129453460175,3.180376795374
75201,"ZCTA5 75201",97104,0.4884,0.11359458151911,0.88640541848089,0.0284350207119287,0.607843137254902,22.2,2.59313014029995,"WHITE","DALLAS",0.0260888549285013,36.0608834973678,63.9391165026322,14.9290455481804,13.9963378347448,4.95536736095216,2.1801327534905
75210,"ZCTA5 75210",28269,0.4613,0.246861924686192,0.753138075313807,0.125314685314685,0.48135913166588,30.4,39.5397489539749,"BLACK","DALLAS",0.0777777777777778,97.4288020292863,2.57119797071371,60.0830162573504,36.9998846996426,0,0.345901072293324
75212,"ZCTA5 75212",36212,0.4639,0.503344692666919,0.496655307333081,0.0846749088321622,0.497582930488415,30.3,27.0352139341159,"HISPANIC","DALLAS",0.0411689961880559,89.7118263473054,10.2881736526946,28.375748502994,59.7604790419162,1.24625748502994,0.329341317365269
75240,"ZCTA5 75240",51569,0.4848,0.242214532871972,0.757785467128028,0.0574615616520953,0.308934480476506,28.8,11.0034602076125,"HISPANIC","DALLAS",0.0292237442922374,79.8486016681853,20.1513983318147,11.1726361533609,61.6317375762249,3.10506763860657,3.93916029999299
75243,"ZCTA5 75243",41786,0.489,0.240611862790123,0.759388137209877,0.0485810986722208,0.341499580942557,31,14.8761790369873,"NO MAJORITY","DALLAS",0.0685708969110532,75.9252210575628,24.0747789424372,44.5877496047315,21.7836856590736,6.62587105463489,2.9279147391228
75246,"ZCTA5 75246",24803,0.5521,0.105733432613552,0.894266567386448,0.0282738095238095,0.455855855855856,32.1,31.7200297840655,"NO MAJORITY","DALLAS",0.0299750208159867,65,35,23.4782608695652,37.5724637681159,3.04347826086957,0.905797101449275
75249,"ZCTA5 75249",64246,0.3362,0.750464166357222,0.249535833642778,0.0668988833111362,0.261305304326571,29.2,12.8481247679168,"NO MAJORITY","DALLAS",0.03125,91.6822482860219,8.31775171397813,48.4503371295824,37.8718340982492,4.98611819366536,0.373958864524902
75010,"ZCTA5 75010",85946,0.4121,0.46467804630725,0.53532195369275,0.0377713837300549,0.161397119682172,27.1,2.87307757309447,"NO MAJORITY","FORTWORTH",0.0386740331491713,56.9953298691048,43.0046701308952,13.6551996316516,13.9084391238571,25.9356705913307,3.49602052226534
