"state","union_any","dem_proportion","rep_proportion","other_proportion","year"
"North Dakota","union_hh_no",0.321796992034187,0.634929096851321,0.043273911114492,2012
"North Dakota","union_hh_yes",0.361476652028594,0.584248561454725,0.0542747865166807,2012
"Ohio","union_hh_no",0.505461599446764,0.46554132675655,0.0289970737966854,2012
"Ohio","union_hh_yes",0.536718841640513,0.436377804638356,0.0269033537211314,2012
"Oklahoma","union_hh_no",0.336939825246775,0.641062437310042,0.0219977374431831,2012
"Oklahoma","union_hh_yes",0.348167668808208,0.650799302162618,0.0010330290291743,2012
"Oregon","union_hh_no",0.559262166396481,0.369143335239396,0.0715944983641227,2012
"Oregon","union_hh_yes",0.505036781077207,0.445926888723035,0.0490363301997575,2012
"Pennsylvania","union_hh_no",0.520040682194007,0.452209243266275,0.0277500745397172,2012
"Pennsylvania","union_hh_yes",0.513878019661379,0.452020158076019,0.0341018222626018,2012
"Rhode Island","union_hh_no",0.642226100445443,0.308606189595722,0.049167709958835,2012
"Rhode Island","union_hh_yes",0.699547140415724,0.281046798097349,0.0194060614869277,2012
"South Carolina","union_hh_no",0.491601258320993,0.47102507110651,0.0373736705724974,2012
"South Carolina","union_hh_yes",0.464474714078271,0.507093932285481,0.0284313536362481,2012
"South Dakota","union_hh_no",0.3907705462241,0.532387872973994,0.076841580801906,2012
"South Dakota","union_hh_yes",0.40624686112473,0.483718845458141,0.110034293417129,2012
"Tennessee","union_hh_no",0.428388997935796,0.53237661145521,0.0392343906089946,2012
"Tennessee","union_hh_yes",0.483128172806871,0.47671328236914,0.0401585448239882,2012
"Texas","union_hh_no",0.44240920214757,0.522830750750347,0.0347600471020832,2012
"Texas","union_hh_yes",0.501449513345054,0.46961375951329,0.0289367271416563,2012
"Utah","union_hh_no",0.292118532144217,0.655167523858601,0.0527139439971813,2012
"Utah","union_hh_yes",0.31381671410412,0.602407817052742,0.0837754688431375,2012
"Vermont","union_hh_no",0.611082740357436,0.356799614300869,0.0321176453416947,2012
"Vermont","union_hh_yes",0.668620231114532,0.303715065132286,0.0276647037531814,2012
"Virginia","union_hh_no",0.495515320691481,0.477534797297667,0.0269498820108522,2012
"Virginia","union_hh_yes",0.538284097110962,0.428412657297755,0.0333032455912824,2012
"Washington","union_hh_no",0.551613009234097,0.40645541767335,0.0419315730925526,2012
"Washington","union_hh_yes",0.557870279246677,0.415271255493046,0.0268584652602766,2012
"West Virginia","union_hh_no",0.306383710932471,0.610459793293582,0.0831564957739466,2012
"West Virginia","union_hh_yes",0.430311150193103,0.527148089832993,0.0425407599739044,2012
"Wisconsin","union_hh_no",0.485041238681886,0.48860569087127,0.0263530704468441,2012
"Wisconsin","union_hh_yes",0.567639045946322,0.40981227923931,0.0225486748143674,2012
"Wyoming","union_hh_no",0.245047028354908,0.722325316710561,0.0326276549345317,2012
"Wyoming","union_hh_yes",0.336857594504627,0.513719961364466,0.149422444130907,2012
"Alabama","union_hh_no",0.357375675261289,0.603176004093736,0.0394483206449755,2016
"Alabama","union_hh_yes",0.33473165146684,0.632000017265781,0.0332683312673787,2016
"Alaska","union_hh_no",0.321655544888413,0.482953439621494,0.195391015490093,2016
"Alaska","union_hh_yes",0.362756776059821,0.580138179217892,0.0571050447222876,2016
"Arizona","union_hh_no",0.469477137457051,0.463170330984387,0.0673525315585617,2016
"Arizona","union_hh_yes",0.40001670147677,0.536051024870032,0.063932273653198,2016
"Arkansas","union_hh_no",0.302077678994978,0.637563090325021,0.060359230680001,2016
"Arkansas","union_hh_yes",0.343524023417832,0.597745338685285,0.0587306378968833,2016
"California","union_hh_no",0.614946944350086,0.314212663778119,0.0708403918717947,2016
"California","union_hh_yes",0.620816345999679,0.315527756535298,0.0636558974650226,2016
"Colorado","union_hh_no",0.47269577721015,0.437447660945846,0.0898565618440043,2016
"Colorado","union_hh_yes",0.473046794607524,0.442408903852275,0.0845443015402016,2016
"Connecticut","union_hh_no",0.564218976467537,0.362016784247663,0.0737642392847996,2016
"Connecticut","union_hh_yes",0.535371777265524,0.419678940193869,0.0449492825406073,2016
"Delaware","union_hh_no",0.588146205497952,0.359318153380586,0.0525356411214615,2016
"Delaware","union_hh_yes",0.484085156693966,0.48110008361681,0.0348147596892241,2016
"District of Columbia","union_hh_no",0.900505030313437,0.0618414306355767,0.0376535390509861,2016
"District of Columbia","union_hh_yes",0.869745840923184,0.0508135106762015,0.0794406484006148,2016
"Florida","union_hh_no",0.474097060343862,0.491929059216834,0.0339738804393034,2016
"Florida","union_hh_yes",0.491409714386016,0.475472220884635,0.0331180647293485,2016
"Georgia","union_hh_no",0.450495276660496,0.507230013805843,0.0422747095336611,2016
"Georgia","union_hh_yes",0.480388394086037,0.485638779370904,0.0339728265430597,2016
"Hawaii","union_hh_no",0.616290887527541,0.273839919830518,0.109869192641942,2016
"Hawaii","union_hh_yes",0.613399483173502,0.323175691873974,0.0634248249525243,2016
"Idaho","union_hh_no",0.239913572692171,0.590164926297833,0.169921501009996,2016
"Idaho","union_hh_yes",0.286270287602575,0.638197075700237,0.0755326366971887,2016
"Illinois","union_hh_no",0.559750117205949,0.383648057082997,0.0566018257110537,2016
"Illinois","union_hh_yes",0.54946202831266,0.400631199392867,0.0499067722944736,2016
"Indiana","union_hh_no",0.346551456550729,0.589067737771242,0.0643808056780287,2016
"Indiana","union_hh_yes",0.387805709369022,0.552911337624848,0.0592829530061298,2016
"Iowa","union_hh_no",0.352998553977612,0.563370453074693,0.0836309929476954,2016
"Iowa","union_hh_yes",0.466221319502812,0.462665188284752,0.0711134922124366,2016
"Kansas","union_hh_no",0.330808459432697,0.584479932730942,0.0847116078363613,2016
"Kansas","union_hh_yes",0.431345098945689,0.470599826463322,0.0980550745909889,2016
"Kentucky","union_hh_no",0.314350400580474,0.631742166566487,0.0539074328530397,2016
"Kentucky","union_hh_yes",0.324005507497251,0.630906422671549,0.0450880698311994,2016
"Louisiana","union_hh_no",0.406885272780642,0.559921614989943,0.0331931122294151,2016
"Louisiana","union_hh_yes",0.407377532165999,0.547006136619303,0.0456163312146981,2016
"Maine","union_hh_no",0.473841086346976,0.460452764297575,0.0657061493554494,2016
"Maine","union_hh_yes",0.465792707483294,0.456458387291789,0.0777489052249176,2016
"Maryland","union_hh_no",0.617843401961131,0.330659653028743,0.0514969450101257,2016
"Maryland","union_hh_yes",0.605668205015462,0.318906702988001,0.0754250919965375,2016
"Massachusetts","union_hh_no",0.606257330094181,0.327537531580342,0.0662051383254769,2016
"Massachusetts","union_hh_yes",0.592169738954931,0.328638212057888,0.0791920489871816,2016
"Michigan","union_hh_no",0.448371900409793,0.489361756716624,0.0622663428735828,2016
"Michigan","union_hh_yes",0.486134685533572,0.473519267209245,0.0403460472571839,2016
"Minnesota","union_hh_no",0.431160963583272,0.488357723899555,0.0804813125171724,2016
"Minnesota","union_hh_yes",0.480728954973181,0.434658351130267,0.0846126938965515,2016
"Mississippi","union_hh_no",0.388243330492133,0.585546595564245,0.0262100739436219,2016
"Mississippi","union_hh_yes",0.455864796962049,0.527892572666936,0.0162426303710148,2016
"Missouri","union_hh_no",0.368786797535828,0.572977198255198,0.058236004208974,2016
"Missouri","union_hh_yes",0.409398686048246,0.538266803709947,0.0523345102418069,2016
"Montana","union_hh_no",0.278781580906154,0.612627297512905,0.10859112158094,2016
"Montana","union_hh_yes",0.420592810510265,0.530730766314602,0.0486764231751327,2016
"Nebraska","union_hh_no",0.33168039696226,0.582486040186539,0.0858335628512017,2016
"Nebraska","union_hh_yes",0.342899898580069,0.577781625631575,0.0793184757883559,2016
"Nevada","union_hh_no",0.472033508705238,0.4488766268915,0.0790898644032621,2016
"Nevada","union_hh_yes",0.46659529448289,0.465717808430283,0.0676868970868267,2016
"New Hampshire","union_hh_no",0.478729849352961,0.473092782114376,0.0481773685326634,2016
"New Hampshire","union_hh_yes",0.448109759136425,0.445026716870049,0.106863523993526,2016
"New Jersey","union_hh_no",0.566945164534532,0.400848077631794,0.0322067578336738,2016
"New Jersey","union_hh_yes",0.550322108227224,0.410643996025712,0.0390338957470639,2016
"New Mexico","union_hh_no",0.460838793592295,0.389635981137851,0.149525225269854,2016
"New Mexico","union_hh_yes",0.493284933366587,0.441729509440201,0.0649855571932116,2016
"New York","union_hh_no",0.606705356159092,0.350217453693375,0.0430771901475333,2016
"New York","union_hh_yes",0.57724296298754,0.373530850522288,0.0492261864901718,2016
"North Carolina","union_hh_no",0.459272513855623,0.494791141664147,0.0459363444802308,2016
"North Carolina","union_hh_yes",0.470818104810038,0.493555662395947,0.0356262327940149,2016
"North Dakota","union_hh_no",0.257292910234591,0.630273480182834,0.112433609582575,2016
"North Dakota","union_hh_yes",0.306524206840906,0.570974558818898,0.122501234340196,2016
"Ohio","union_hh_no",0.427261828777351,0.516004844538832,0.0567333266838176,2016
"Ohio","union_hh_yes",0.440891115919124,0.512540840964186,0.0465680431166907,2016
"Oklahoma","union_hh_no",0.267310607101198,0.663823300560779,0.0688660923380229,2016
"Oklahoma","union_hh_yes",0.337054649414221,0.585945625138845,0.0769997254469343,2016
"Oregon","union_hh_no",0.503465775218629,0.390209125364367,0.106325099417004,2016
"Oregon","union_hh_yes",0.486957383415371,0.39475488421113,0.118287732373499,2016
"Pennsylvania","union_hh_no",0.465874127674766,0.484689508380384,0.0494363639448498,2016
"Pennsylvania","union_hh_yes",0.475895084120978,0.493754639107067,0.0303502767719556,2016
"Rhode Island","union_hh_no",0.604636987699301,0.307772005977418,0.0875910063232813,2016
"Rhode Island","union_hh_yes",0.557007449027803,0.384341646349626,0.0586509046225707,2016
"South Carolina","union_hh_no",0.426946880952855,0.529647071273451,0.043406047773694,2016
"South Carolina","union_hh_yes",0.350747277089048,0.605534595349347,0.0437181275616054,2016
"South Dakota","union_hh_no",0.304207664902632,0.599757545155135,0.0960347899422322,2016
"South Dakota","union_hh_yes",0.257633931881915,0.704715121916377,0.0376509462017078,2016
"Tennessee","union_hh_no",0.337195328720716,0.600295320623128,0.062509350656156,2016
"Tennessee","union_hh_yes",0.385265760668881,0.569194725748026,0.0455395135830927,2016
"Texas","union_hh_no",0.448246065134393,0.50022294964086,0.0515309852247466,2016
"Texas","union_hh_yes",0.445115714412515,0.505360884200616,0.0495234013868683,2016
"Utah","union_hh_no",0.26185113324052,0.454971533045881,0.283177333713599,2016
"Utah","union_hh_yes",0.338138260364347,0.488351559931563,0.17351017970409,2016
"Vermont","union_hh_no",0.541726693529852,0.366643187980331,0.0916301184898163,2016
"Vermont","union_hh_yes",0.555368843685743,0.231212813121974,0.213418343192283,2016
"Virginia","union_hh_no",0.492607304203228,0.439531686461966,0.0678610093348061,2016
"Virginia","union_hh_yes",0.502973418626608,0.45518146288119,0.0418451184922021,2016
"Washington","union_hh_no",0.510485097128151,0.393748076865958,0.0957668260058911,2016
"Washington","union_hh_yes",0.520958711247499,0.379711823081574,0.0993294656709261,2016
"West Virginia","union_hh_no",0.263121270814933,0.673909808225074,0.0629689209599933,2016
"West Virginia","union_hh_yes",0.287539779253643,0.647317889529202,0.0651423312171547,2016
"Wisconsin","union_hh_no",0.428467714193624,0.508340736193701,0.0631915496126748,2016
"Wisconsin","union_hh_yes",0.472781144040671,0.458715457648972,0.0685033983103568,2016
"Wyoming","union_hh_no",0.222061081703679,0.68811968844246,0.0898192298538614,2016
"Wyoming","union_hh_yes",0.247361271683167,0.637892111891775,0.114746616425058,2016
"Alabama","union_hh_no",0.403650016182671,0.580290404580353,0.0160595792369762,2020
"Alabama","union_hh_yes",0.337982348310046,0.649792497634707,0.0122251540552473,2020
"Alaska","union_hh_no",0.428594787817306,0.495272290544588,0.0761329216381058,2020
"Alaska","union_hh_yes",0.351792970624362,0.609146376092515,0.0390606532831232,2020
"Arizona","union_hh_no",0.523542773710855,0.449297827625908,0.027159398663237,2020
"Arizona","union_hh_yes",0.425398405347041,0.561679158663869,0.0129224359890898,2020
"Arkansas","union_hh_no",0.331024453058722,0.644317594620631,0.0246579523206476,2020
"Arkansas","union_hh_yes",0.397616113387512,0.58765402663357,0.014729859978918,2020
"California","union_hh_no",0.632697715689154,0.343972310025588,0.0233299742852588,2020
"California","union_hh_yes",0.63354200344877,0.337632664832642,0.0288253317185881,2020
"Colorado","union_hh_no",0.527572801187392,0.438423009776171,0.0340041890364365,2020
"Colorado","union_hh_yes",0.543008343297853,0.440060206238153,0.0169314504639934,2020
